Iteration,Fitness,Chromosomes
12100,0.0,[5.2, 7.34, 5.73]
12200,0.0,[5.2, 7.34, 5.73]
12300,0.0,[5.2, 7.34, 5.73]
12400,0.0,[5.2, 7.34, 5.73]
12500,0.0,[5.2, 7.34, 5.73]
12600,0.0,[5.2, 7.34, 5.73]
12700,0.0,[5.2, 7.34, 5.73]
12800,0.0,[5.2, 7.34, 5.73]
12900,0.0,[5.2, 7.34, 5.73]
13000,0.0,[5.2, 7.34, 5.73]
13100,0.0,[5.2, 7.34, 5.73]
13200,0.0,[5.2, 7.34, 5.73]
13300,0.0,[5.2, 7.34, 5.73]
13400,0.0,[5.2, 7.34, 5.73]
13500,0.0,[5.2, 7.34, 5.73]
13600,0.0,[5.2, 7.34, 5.73]
13700,0.0,[5.2, 7.34, 5.73]
13800,0.0,[5.2, 7.34, 5.73]
13900,0.0,[5.2, 7.34, 5.73]
14000,0.0,[5.2, 7.34, 5.73]
14100,0.0,[5.2, 7.34, 5.73]
14200,0.0,[5.2, 7.34, 5.73]
14300,0.0,[5.2, 7.34, 5.73]
14400,0.0,[5.2, 7.34, 5.73]
14500,0.0,[5.2, 7.34, 5.73]
14600,0.0,[5.2, 7.34, 5.73]
14700,0.0,[5.2, 7.34, 5.73]
14800,0.0,[5.2, 7.34, 5.73]
14900,0.0,[5.2, 7.34, 5.73]
15000,0.0,[5.2, 7.34, 5.73]
15100,0.0,[5.2, 7.34, 5.73]
15200,0.0,[5.2, 7.34, 5.73]
15300,0.0,[5.2, 7.34, 5.73]
15400,0.0,[5.2, 7.34, 5.73]
15500,0.0,[5.2, 7.34, 5.73]
15600,0.0,[5.2, 7.34, 5.73]
15700,0.0,[5.2, 7.34, 5.73]
15800,0.0,[5.2, 7.34, 5.73]
15900,0.0,[5.2, 7.34, 5.73]
16000,0.0,[5.2, 7.34, 5.73]
16100,0.0,[5.2, 7.34, 5.73]
16200,0.0,[5.2, 7.34, 5.73]
16300,0.0,[5.2, 7.34, 5.73]
16400,0.0,[5.2, 7.34, 5.73]
16500,0.0,[5.2, 7.34, 5.73]
16600,0.0,[5.2, 7.34, 5.73]
16700,0.0,[5.2, 7.34, 5.73]
16800,0.0,[5.2, 7.34, 5.73]
16900,0.0,[5.2, 7.34, 5.73]
17000,0.0,[5.2, 7.34, 5.73]
17100,0.0,[5.2, 7.34, 5.73]
17200,0.0,[5.2, 7.34, 5.73]
17300,0.0,[5.2, 7.34, 5.73]
17400,0.0,[5.2, 7.34, 5.73]
17500,0.0,[5.2, 7.34, 5.73]
17600,0.0,[5.2, 7.34, 5.73]
17700,0.0,[5.2, 7.34, 5.73]
17800,0.0,[5.2, 7.34, 5.73]
17900,0.0,[5.2, 7.34, 5.73]
18000,0.0,[5.2, 7.34, 5.73]
18100,0.0,[5.2, 7.34, 5.73]
18200,0.0,[5.2, 7.34, 5.73]
18300,0.0,[5.2, 7.34, 5.73]
18400,0.0,[5.2, 7.34, 5.73]
18500,0.0,[5.2, 7.34, 5.73]
18600,0.0,[5.2, 7.34, 5.73]
18700,0.0,[5.2, 7.34, 5.73]
18800,0.0,[5.2, 7.34, 5.73]
18900,0.0,[5.2, 7.34, 5.73]
19000,0.0,[5.2, 7.34, 5.73]
19100,0.0,[5.2, 7.34, 5.73]
19200,0.0,[5.2, 7.34, 5.73]
19300,0.0,[5.2, 7.34, 5.73]
19400,0.0,[5.2, 7.34, 5.73]
19500,0.0,[5.2, 7.34, 5.73]
19600,0.0,[5.2, 7.34, 5.73]
19700,0.0,[5.2, 7.34, 5.73]
19800,0.0,[5.2, 7.34, 5.73]
19900,0.0,[5.2, 7.34, 5.73]
20000,0.0,[5.2, 7.34, 5.73]
