Iteration,Fitness,Chromosome
14700,-106.556100253,[4.68, 3.12]
14800,-106.556100253,[4.68, 3.12]
14900,-106.556100253,[4.68, 3.12]
15000,-106.556100253,[4.68, 3.12]
15100,-106.556100253,[4.68, 3.12]
15200,-106.556100253,[4.68, 3.12]
15300,-106.556100253,[4.68, 3.12]
15400,-106.556100253,[4.68, 3.12]
15500,-106.556100253,[4.68, 3.12]
15600,-106.556100253,[4.68, 3.12]
15700,-106.556100253,[4.68, 3.12]
15800,-106.556100253,[4.68, 3.12]
15900,-106.556100253,[4.68, 3.12]
16000,-106.556100253,[4.68, 3.12]
16100,-106.556100253,[4.68, 3.12]
16200,-106.556100253,[4.68, 3.12]
16300,-106.556100253,[4.68, 3.12]
16400,-106.556100253,[4.68, 3.12]
16500,-106.556100253,[4.68, 3.12]
16600,-106.556100253,[4.68, 3.12]
16700,-106.556100253,[4.68, 3.12]
16800,-106.556100253,[4.68, 3.12]
16900,-106.556100253,[4.68, 3.12]
17000,-106.556100253,[4.68, 3.12]
17100,-106.556100253,[4.68, 3.12]
17200,-106.556100253,[4.68, 3.12]
17300,-106.556100253,[4.68, 3.12]
17400,-106.556100253,[4.68, 3.12]
17500,-106.556100253,[4.68, 3.12]
17600,-106.556100253,[4.68, 3.12]
17700,-106.556100253,[4.68, 3.12]
17800,-106.556100253,[4.68, 3.12]
17900,-106.556100253,[4.68, 3.12]
18000,-106.556100253,[4.68, 3.12]
18100,-106.556100253,[4.68, 3.12]
18200,-106.556100253,[4.68, 3.12]
18300,-106.556100253,[4.68, 3.12]
18400,-106.556100253,[4.68, 3.12]
18500,-106.556100253,[4.68, 3.12]
18600,-106.556100253,[4.68, 3.12]
18700,-106.556100253,[4.68, 3.12]
18800,-106.556100253,[4.68, 3.12]
18900,-106.556100253,[4.68, 3.12]
19000,-106.556100253,[4.68, 3.12]
19100,-106.556100253,[4.68, 3.12]
19200,-106.556100253,[4.68, 3.12]
19300,-106.556100253,[4.68, 3.12]
19400,-106.556100253,[4.68, 3.12]
19500,-106.556100253,[4.68, 3.12]
19600,-106.556100253,[4.68, 3.12]
19700,-106.556100253,[4.68, 3.12]
19800,-106.556100253,[4.68, 3.12]
19900,-106.556100253,[4.68, 3.12]
