Iteration,Fitness,Chromosomes
16800,0.12,[-0.0, 0.25]
16900,0.12,[-0.0, 0.25]
17000,0.12,[-0.0, 0.25]
17100,0.12,[-0.0, 0.25]
17200,0.12,[-0.0, 0.25]
17300,0.12,[-0.0, 0.25]
17400,0.12,[-0.0, 0.25]
17500,0.12,[-0.0, 0.25]
17600,0.12,[-0.0, 0.25]
17700,0.12,[-0.0, 0.25]
17800,0.12,[-0.0, 0.25]
17900,0.12,[-0.0, 0.25]
18000,0.12,[-0.0, 0.25]
18100,0.12,[-0.0, 0.25]
18200,0.12,[-0.0, 0.25]
18300,0.12,[-0.0, 0.25]
18400,0.12,[-0.0, 0.25]
18500,0.12,[-0.0, 0.25]
18600,0.12,[-0.0, 0.25]
18700,0.12,[-0.0, 0.25]
18800,0.12,[-0.0, 0.25]
18900,0.12,[-0.0, 0.25]
19000,0.12,[-0.0, 0.25]
19100,0.12,[-0.0, 0.25]
19200,0.12,[-0.0, 0.25]
19300,0.12,[-0.0, 0.25]
19400,0.12,[-0.0, 0.25]
19500,0.12,[-0.0, 0.25]
19600,0.12,[-0.0, 0.25]
19700,0.12,[-0.0, 0.25]
19800,0.12,[-0.0, 0.25]
19900,0.12,[-0.0, 0.25]
20000,0.12,[-0.0, 0.25]
