Iteration,Fitness,Chromosomes
17700,1.09,[0.09, -0.12]
17800,1.09,[0.09, -0.12]
17900,1.09,[0.09, -0.12]
18000,1.09,[0.09, -0.12]
18100,1.09,[0.09, -0.12]
18200,1.09,[0.09, -0.12]
18300,1.09,[0.09, -0.12]
18400,1.09,[0.09, -0.12]
18500,1.09,[0.09, -0.12]
18600,1.09,[0.09, -0.12]
18700,1.09,[0.09, -0.12]
18800,1.09,[0.09, -0.12]
18900,1.09,[0.09, -0.12]
19000,1.09,[0.09, -0.12]
19100,1.09,[0.09, -0.12]
19200,1.01,[-0.0, -0.12]
19300,1.01,[-0.0, -0.12]
19400,1.01,[-0.0, -0.12]
19500,1.01,[-0.0, -0.12]
19600,1.01,[-0.0, -0.12]
19700,1.01,[-0.0, -0.12]
19800,1.01,[-0.0, -0.12]
19900,1.01,[-0.0, -0.12]
20000,1.01,[-0.0, -0.12]
