Iteration,Fitness,Chromosome
15200,26.9908095754,[4.62, 0.73]
15300,26.9908095754,[4.62, 0.73]
15400,26.9908095754,[4.62, 0.73]
15500,26.9908095754,[4.62, 0.73]
15600,26.9908095754,[4.62, 0.73]
15700,26.9908095754,[4.62, 0.73]
15800,26.9908095754,[4.62, 0.73]
15900,26.9908095754,[4.62, 0.73]
16000,26.9908095754,[4.62, 0.73]
16100,26.9908095754,[4.62, 0.73]
16200,26.9908095754,[4.62, 0.73]
16300,26.9908095754,[4.62, 0.73]
16400,26.9908095754,[4.62, 0.73]
16500,26.9908095754,[4.62, 0.73]
16600,26.9908095754,[4.62, 0.73]
16700,26.9908095754,[4.62, 0.73]
16800,26.9908095754,[4.62, 0.73]
16900,26.9908095754,[4.62, 0.73]
17000,26.9908095754,[4.62, 0.73]
17100,26.9908095754,[4.62, 0.73]
17200,26.9908095754,[4.62, 0.73]
17300,26.9908095754,[4.62, 0.73]
17400,26.9908095754,[4.62, 0.73]
17500,26.9908095754,[4.62, 0.73]
17600,26.9908095754,[4.62, 0.73]
17700,26.9908095754,[4.62, 0.73]
17800,26.9908095754,[4.62, 0.73]
17900,24.2141033804,[-0.58, -4.53]
18000,24.2141033804,[-0.58, -4.53]
18100,24.2141033804,[-0.58, -4.53]
18200,24.2141033804,[-0.58, -4.53]
18300,24.2141033804,[-0.58, -4.53]
18400,24.2141033804,[-0.58, -4.53]
18500,24.2141033804,[-0.58, -4.53]
18600,24.2141033804,[-0.58, -4.53]
18700,24.2141033804,[-0.58, -4.53]
18800,24.2141033804,[-0.58, -4.53]
18900,24.2141033804,[-0.58, -4.53]
19000,24.2141033804,[-0.58, -4.53]
19100,24.2141033804,[-0.58, -4.53]
19200,24.2141033804,[-0.58, -4.53]
19300,24.2141033804,[-0.58, -4.53]
19400,24.2141033804,[-0.58, -4.53]
19500,24.2141033804,[-0.58, -4.53]
19600,24.2141033804,[-0.58, -4.53]
19700,24.2141033804,[-0.58, -4.53]
19800,24.2141033804,[-0.58, -4.53]
19900,24.2141033804,[-0.58, -4.53]
