Iteration,Fitness,Chromosome
16000,0.0677,[-9.74, -9.99]
16100,0.0677,[-9.74, -9.99]
16200,0.0677,[-9.74, -9.99]
16300,0.0677,[-9.74, -9.99]
16400,0.0677,[-9.74, -9.99]
16500,0.0677,[-9.74, -9.99]
16600,0.0677,[-9.74, -9.99]
16700,0.0677,[-9.74, -9.99]
16800,0.0677,[-9.74, -9.99]
16900,0.0677,[-9.74, -9.99]
17000,0.0677,[-9.74, -9.99]
17100,0.0677,[-9.74, -9.99]
17200,0.0677,[-9.74, -9.99]
17300,0.0677,[-9.74, -9.99]
17400,0.0677,[-9.74, -9.99]
17500,0.0677,[-9.74, -9.99]
17600,0.0677,[-9.74, -9.99]
17700,0.0677,[-9.74, -9.99]
17800,0.0677,[-9.74, -9.99]
17900,0.0677,[-9.74, -9.99]
18000,0.0445,[-9.79, -9.98]
18100,0.0445,[-9.79, -9.98]
18200,0.0445,[-9.79, -9.98]
18300,0.0445,[-9.79, -9.98]
18400,0.0445,[-9.79, -9.98]
18500,0.0445,[-9.79, -9.98]
18600,0.0445,[-9.79, -9.98]
18700,0.0445,[-9.79, -9.98]
18800,0.0445,[-9.79, -9.98]
18900,0.0445,[-9.79, -9.98]
19000,0.0445,[-9.79, -9.98]
19100,0.0445,[-9.79, -9.98]
19200,0.0445,[-9.79, -9.98]
19300,0.0445,[-9.79, -9.98]
19400,0.0445,[-9.79, -9.98]
19500,0.0445,[-9.79, -9.98]
19600,0.0445,[-9.79, -9.98]
19700,0.0445,[-9.79, -9.98]
19800,0.0445,[-9.79, -9.98]
19900,0.0445,[-9.79, -9.98]
