Iteration,Fitness,Chromosomes
17700,0.4,[9.45, 9.65]
17800,0.4,[9.45, 9.65]
17900,0.4,[9.45, 9.65]
18000,0.4,[9.45, 9.65]
18100,0.4,[9.45, 9.65]
18200,0.4,[9.45, 9.65]
18300,0.4,[9.45, 9.65]
18400,0.4,[9.45, 9.65]
18500,0.4,[9.45, 9.65]
18600,0.4,[9.45, 9.65]
18700,0.4,[9.45, 9.65]
18800,0.4,[9.45, 9.65]
18900,0.4,[9.45, 9.65]
19000,0.4,[9.45, 9.65]
19100,0.4,[9.45, 9.65]
19200,0.4,[9.45, 9.65]
19300,0.4,[9.45, 9.65]
19400,0.4,[9.45, 9.65]
19500,0.4,[9.45, 9.65]
19600,0.4,[9.45, 9.65]
19700,0.4,[9.45, 9.65]
19800,0.4,[9.45, 9.65]
19900,0.4,[9.45, 9.65]
20000,0.4,[9.45, 9.65]
