Iteration,Fitness,Chromosomes
15900,-106.76,[-1.59, -3.13]
16000,-106.76,[-1.59, -3.13]
16100,-106.76,[-1.59, -3.13]
16200,-106.76,[-1.59, -3.13]
16300,-106.76,[-1.59, -3.13]
16400,-106.76,[-1.59, -3.13]
16500,-106.76,[-1.59, -3.13]
16600,-106.76,[-1.59, -3.13]
16700,-106.76,[-1.59, -3.13]
16800,-106.76,[-1.59, -3.13]
16900,-106.76,[-1.59, -3.13]
17000,-106.76,[-1.59, -3.13]
17100,-106.76,[-1.59, -3.13]
17200,-106.76,[-1.59, -3.13]
17300,-106.76,[-1.59, -3.13]
17400,-106.76,[-1.59, -3.13]
17500,-106.76,[-1.59, -3.13]
17600,-106.76,[-1.59, -3.13]
17700,-106.76,[-1.59, -3.13]
17800,-106.76,[-1.59, -3.13]
17900,-106.76,[-1.59, -3.13]
18000,-106.76,[-1.59, -3.13]
18100,-106.76,[-1.59, -3.13]
18200,-106.76,[-1.59, -3.13]
18300,-106.76,[-1.59, -3.13]
18400,-106.76,[-1.59, -3.13]
18500,-106.76,[-1.59, -3.13]
18600,-106.76,[-1.59, -3.13]
18700,-106.76,[-1.59, -3.13]
18800,-106.76,[-1.59, -3.13]
18900,-106.76,[-1.59, -3.13]
19000,-106.76,[-1.59, -3.13]
19100,-106.76,[-1.59, -3.13]
19200,-106.76,[-1.59, -3.13]
19300,-106.76,[-1.59, -3.13]
19400,-106.76,[-1.59, -3.13]
19500,-106.76,[-1.59, -3.13]
19600,-106.76,[-1.59, -3.13]
19700,-106.76,[-1.59, -3.13]
19800,-106.76,[-1.59, -3.13]
19900,-106.76,[-1.59, -3.13]
20000,-106.76,[-1.59, -3.13]
