Iteration,Fitness,Chromosomes
17700,0.0,[0.96, 3.04]
17800,0.0,[0.96, 3.04]
17900,0.0,[0.96, 3.04]
18000,0.0,[0.96, 3.04]
18100,0.0,[0.96, 3.04]
18200,0.0,[0.96, 3.04]
18300,0.0,[0.96, 3.04]
18400,0.0,[0.96, 3.04]
18500,0.0,[0.96, 3.04]
18600,0.0,[0.96, 3.04]
18700,0.0,[0.96, 3.04]
18800,0.0,[0.96, 3.04]
18900,0.0,[0.96, 3.04]
19000,0.0,[0.96, 3.04]
19100,0.0,[0.96, 3.04]
19200,0.0,[0.96, 3.04]
19300,0.0,[0.96, 3.04]
19400,0.0,[0.96, 3.04]
19500,0.0,[0.96, 3.04]
19600,0.0,[0.96, 3.04]
19700,0.0,[0.96, 3.04]
19800,0.0,[0.96, 3.04]
19900,0.0,[0.96, 3.04]
20000,0.0,[0.96, 3.04]
