Iteration,Fitness,Chromosome
13800,0.0,[8.72, 10.67, 9.69]
13900,0.0,[8.72, 10.67, 9.69]
14000,0.0,[8.72, 10.67, 9.69]
14100,0.0,[8.72, 10.67, 9.69]
14200,0.0,[8.72, 10.67, 9.69]
14300,0.0,[8.72, 10.67, 9.69]
14400,0.0,[8.72, 10.67, 9.69]
14500,0.0,[8.72, 10.67, 9.69]
14600,0.0,[8.72, 10.67, 9.69]
14700,0.0,[8.72, 10.67, 9.69]
14800,0.0,[8.72, 10.67, 9.69]
14900,0.0,[8.72, 10.67, 9.69]
15000,0.0,[8.72, 10.67, 9.69]
15100,0.0,[8.72, 10.67, 9.69]
15200,0.0,[8.72, 10.67, 9.69]
15300,0.0,[8.72, 10.67, 9.69]
15400,0.0,[8.72, 10.67, 9.69]
15500,0.0,[8.72, 10.67, 9.69]
15600,0.0,[8.72, 10.67, 9.69]
15700,0.0,[8.72, 10.67, 9.69]
15800,0.0,[8.72, 10.67, 9.69]
15900,0.0,[8.72, 10.67, 9.69]
16000,0.0,[8.72, 10.67, 9.69]
16100,0.0,[8.72, 10.67, 9.69]
16200,0.0,[8.72, 10.67, 9.69]
16300,0.0,[8.72, 10.67, 9.69]
16400,0.0,[8.72, 10.67, 9.69]
16500,0.0,[8.72, 10.67, 9.69]
16600,0.0,[8.72, 10.67, 9.69]
16700,0.0,[8.72, 10.67, 9.69]
16800,0.0,[8.72, 10.67, 9.69]
16900,0.0,[8.72, 10.67, 9.69]
17000,0.0,[8.72, 10.67, 9.69]
17100,0.0,[8.72, 10.67, 9.69]
17200,0.0,[8.72, 10.67, 9.69]
17300,0.0,[8.72, 10.67, 9.69]
17400,0.0,[8.72, 10.67, 9.69]
17500,0.0,[8.72, 10.67, 9.69]
17600,0.0,[8.72, 10.67, 9.69]
17700,0.0,[8.72, 10.67, 9.69]
17800,0.0,[8.72, 10.67, 9.69]
17900,0.0,[8.72, 10.67, 9.69]
18000,0.0,[8.72, 10.67, 9.69]
18100,0.0,[8.72, 10.67, 9.69]
18200,0.0,[8.72, 10.67, 9.69]
18300,0.0,[8.72, 10.67, 9.69]
18400,0.0,[8.72, 10.67, 9.69]
18500,0.0,[8.72, 10.67, 9.69]
18600,0.0,[8.72, 10.67, 9.69]
18700,0.0,[8.72, 10.67, 9.69]
18800,0.0,[8.72, 10.67, 9.69]
18900,0.0,[8.72, 10.67, 9.69]
19000,0.0,[8.72, 10.67, 9.69]
19100,0.0,[8.72, 10.67, 9.69]
19200,0.0,[8.72, 10.67, 9.69]
19300,0.0,[8.72, 10.67, 9.69]
19400,0.0,[8.72, 10.67, 9.69]
19500,0.0,[8.72, 10.67, 9.69]
19600,0.0,[8.72, 10.67, 9.69]
19700,0.0,[8.72, 10.67, 9.69]
19800,0.0,[8.72, 10.67, 9.69]
19900,0.0,[8.72, 10.67, 9.69]
